bank_transaction_id,reference_id,amount,transaction_date,transaction_type
B001,P001,23934,2026-08-27,credit
B002,P002,8517,2026-08-22,credit
B003,P003,27219,2026-09-03,credit
B004,P004,508,2026-08-28,credit
B005,P005,1,2026-08-30,credit
B006,P006,2040,2026-08-29,credit
B007,P007,641,2026-08-30,credit
B008,P009,8123,2026-08-20,credit
B009,P010,612,2026-08-30,credit
B010,P012,45348,2026-08-20,credit
B011,P013,431,2026-08-25,credit
B012,P014,25785,2026-08-21,credit
B013,P016,775,2026-08-24,credit
B014,P017,23880,2026-08-23,credit
B015,P018,38711,2026-08-29,credit
B016,P020,335,2026-08-30,credit
B017,P021,2104,2026-08-21,credit
B018,P022,343,2026-08-28,credit
B019,P023,8744,2026-08-26,credit
B020,P024,2590,2026-08-28,credit
B021,P025,2612,2026-08-25,credit
B022,P026,22465,2026-08-27,credit
B023,P027,4006,2026-08-23,credit
B024,P028,13315,2026-08-28,credit
B025,P029,4872,2026-08-27,credit
B026,P029,4872,2026-08-27,credit
B027,P030,318,2026-08-26,credit
B028,P031,5345,2026-08-26,credit
B029,P032,777,2026-08-24,credit
B030,P033,13994,2026-08-25,credit
B031,P034,42454,2026-08-22,credit
B032,P036,513,2026-08-29,credit
B033,P037,37477,2026-09-01,credit
B034,P038,6147,2026-08-26,credit
B035,P039,5915,2026-08-21,credit
B036,P039,5915,2026-08-21,credit
B037,P040,14801,2026-08-23,credit
B038,P041,371,2026-08-23,credit
B039,P042,38716,2026-08-24,credit
B040,P043,10512,2026-08-28,credit
B041,P044,2697,2026-08-21,credit
B042,P045,3546,2026-08-29,credit
B043,P046,24092,2026-08-30,credit
B044,P047,1117,2026-08-21,credit
B045,P048,1699,2026-08-25,credit
B046,P049,20589,2026-08-27,credit
B047,P050,822,2026-08-21,credit
B048,P051,810,2026-08-28,credit
B049,P052,1685,2026-08-20,credit
B050,P053,5088,2026-08-28,credit
B051,P054,735,2026-08-22,credit
B052,P055,3938,2026-08-30,credit
B053,P056,3608,2026-08-20,credit
B054,P057,4269,2026-08-24,credit
B055,P058,1287,2026-08-25,credit
B056,P059,33012,2026-08-28,credit
B057,P060,695,2026-08-21,credit
B058,P061,694,2026-08-29,credit
B059,P062,38599,2026-08-28,credit
B060,P063,494,2026-08-26,credit
B061,P064,9321,2026-08-26,credit
B062,P065,18167,2026-08-24,credit
B063,P066,7691,2026-08-24,credit
B064,P067,37554,2026-08-26,credit
B065,P068,36612,2026-08-20,credit
B066,P069,38173,2026-09-02,credit
B067,P070,24005,2026-08-27,credit
B068,P071,28598,2026-08-30,credit
B069,P072,25391,2026-08-25,credit
B070,P073,41138,2026-08-21,credit
B071,P074,4185,2026-08-29,credit
B072,P075,1090,2026-08-23,credit
B073,P076,923,2026-08-28,credit
B074,P076,923,2026-08-28,credit
B075,P077,968,2026-08-27,credit
B076,P079,950,2026-08-27,credit
B077,P081,14827,2026-08-24,credit
B078,P082,443,2026-08-22,credit
B079,P083,20014,2026-08-23,credit
B080,P084,31684,2026-08-27,credit
B081,P084,31684,2026-08-27,credit
B082,P085,4386,2026-09-01,credit
B083,P086,6763,2026-08-26,credit
B084,P087,865,2026-08-27,credit
B085,P089,7624,2026-08-22,credit
B086,P090,36322,2026-08-29,credit
B087,P091,8022,2026-08-22,credit
B088,P091,8022,2026-08-22,credit
B089,P092,366,2026-08-27,credit
B090,P093,7211,2026-08-24,credit
B091,P094,581,2026-08-25,credit
B092,P095,765,2026-08-23,credit
B093,P096,959,2026-08-22,credit
B094,P097,785,2026-08-31,credit
B095,P098,2876,2026-08-21,credit
B096,P099,47735,2026-08-26,credit
B097,P100,14980,2026-08-30,credit
