ledger_id,payment_id,invoice_id,amount,entry_date
L001,P001,INV001,23934,2026-08-27
L002,P002,INV002,8517,2026-08-22
L003,P003,INV003,27219,2026-08-29
L004,P004,INV004,508,2026-08-28
L005,P005,INV005,193,2026-08-30
L006,P006,INV006,2040,2026-08-29
L007,P007,INV007,641,2026-08-30
L008,P008,INV008,27486,2026-08-25
L009,P009,INV009,8123,2026-08-20
L010,P011,INV011,961,2026-08-22
L011,P012,INV012,45348,2026-08-20
L012,P013,INV013,431,2026-08-25
L013,P014,INV014,25785,2026-08-21
L014,P015,INV015,14535,2026-08-22
L015,P016,INV016,775,2026-08-24
L016,P017,INV017,23880,2026-08-23
L017,P018,INV018,38711,2026-08-27
L018,P019,INV019,330,2026-08-29
L019,P020,INV020,335,2026-08-30
L020,P021,INV021,2104,2026-08-21
L021,P022,INV022,343,2026-08-28
L022,P023,INV023,8744,2026-08-26
L023,P024,INV024,2589,2026-08-26
L024,P026,INV026,22465,2026-08-27
L025,P028,INV028,13315,2026-08-28
L026,P029,INV029,4872,2026-08-27
L027,P030,INV030,318,2026-08-26
L028,P031,INV031,5345,2026-08-26
L029,P032,INV032,777,2026-08-24
L030,P033,INV033,13994,2026-08-25
L031,P034,INV034,42954,2026-08-22
L032,P035,INV035,14490,2026-08-21
L033,P036,INV036,513,2026-08-29
L034,P037,INV037,37473,2026-08-29
L035,P038,INV038,6147,2026-08-26
L036,P039,INV039,5915,2026-08-21
L037,P040,INV040,14801,2026-08-23
L038,P041,INV041,371,2026-08-23
L039,P042,INV042,38716,2026-08-24
L040,P043,INV043,10512,2026-08-28
L041,P044,INV044,2697,2026-08-21
L042,P045,INV045,3546,2026-08-29
L043,P046,INV046,23342,2026-08-30
L044,P047,INV047,617,2026-08-21
L045,P048,INV048,949,2026-08-25
L046,P049,INV049,20589,2026-08-27
L047,P050,INV050,822,2026-08-21
L048,P051,INV051,807,2026-08-25
L049,P052,INV052,1685,2026-08-20
L050,P053,INV053,5088,2026-08-28
L051,P054,INV054,735,2026-08-22
L052,P055,INV055,3938,2026-08-30
L053,P056,INV056,3608,2026-08-20
L054,P057,INV057,4269,2026-08-24
L055,P058,INV058,1387,2026-08-25
L056,P059,INV059,33012,2026-08-28
L057,P060,INV060,795,2026-08-21
L058,P061,INV061,694,2026-08-29
L059,P062,INV062,38599,2026-08-28
L060,P063,INV063,494,2026-08-26
L061,P064,INV064,9821,2026-08-26
L062,P066,INV066,7691,2026-08-24
L063,P068,INV068,36612,2026-08-20
L064,P069,INV069,38173,2026-08-29
L065,P070,INV070,24005,2026-08-27
L066,P071,INV071,28598,2026-08-30
L067,P072,INV072,25392,2026-08-24
L068,P073,INV073,41138,2026-08-21
L069,P074,INV074,4185,2026-08-26
L070,P075,INV075,1090,2026-08-23
L071,P076,INV076,923,2026-08-28
L072,P077,INV077,968,2026-08-27
L073,P078,INV078,39004,2026-08-28
L074,P080,INV080,28173,2026-08-27
L075,P081,INV081,15077,2026-08-24
L076,P082,INV082,443,2026-08-22
L077,P083,INV083,20014,2026-08-23
L078,P084,INV084,31684,2026-08-27
L079,P085,INV085,4387,2026-08-29
L080,P086,INV086,6763,2026-08-26
L081,P087,INV087,865,2026-08-27
L082,P088,INV088,379,2026-08-26
L083,P089,INV089,7624,2026-08-22
L084,P090,INV090,35822,2026-08-29
L085,P091,INV091,8022,2026-08-22
L086,P092,INV092,366,2026-08-27
L087,P093,INV093,7211,2026-08-24
L088,P094,INV094,581,2026-08-25
L089,P095,INV095,765,2026-08-23
L090,P096,INV096,959,2026-08-22
L091,P097,INV097,785,2026-08-27
L092,P098,INV098,2876,2026-08-21
L093,P099,INV099,47735,2026-08-26
