payment_id,customer_id,amount,payment_date,status,currency
P001,C014,23934,2026-08-27,captured,INR
P002,C026,8517,2026-08-22,captured,INR
P003,C016,27219,2026-08-29,captured,INR
P004,C038,508,2026-08-28,captured,INR
P005,C032,193,2026-08-30,captured,INR
P006,C028,2040,2026-08-29,captured,INR
P007,C030,641,2026-08-30,captured,INR
P008,C008,27486,2026-08-25,captured,INR
P009,C008,8123,2026-08-20,captured,INR
P010,C017,612,2026-08-30,captured,INR
P011,C020,961,2026-08-22,captured,INR
P012,C024,45348,2026-08-20,captured,INR
P013,C039,431,2026-08-25,captured,INR
P014,C020,25785,2026-08-21,captured,INR
P015,C006,14535,2026-08-22,captured,INR
P016,C009,775,2026-08-24,captured,INR
P017,C034,23880,2026-08-23,captured,INR
P018,C020,38711,2026-08-27,captured,INR
P019,C016,330,2026-08-29,captured,INR
P020,C036,335,2026-08-30,captured,INR
P021,C004,2104,2026-08-21,captured,INR
P022,C033,343,2026-08-28,captured,INR
P023,C009,8744,2026-08-26,captured,INR
P024,C013,2588,2026-08-26,captured,INR
P025,C004,2612,2026-08-25,captured,INR
P026,C007,22465,2026-08-27,captured,INR
P027,C009,4006,2026-08-23,captured,INR
P028,C005,13315,2026-08-28,captured,INR
P029,C001,4872,2026-08-27,captured,INR
P030,C031,318,2026-08-26,captured,INR
P031,C001,5345,2026-08-26,captured,INR
P032,C036,777,2026-08-24,captured,INR
P033,C014,13994,2026-08-25,captured,INR
P034,C004,42954,2026-08-22,captured,INR
P035,C033,14490,2026-08-21,captured,INR
P036,C016,513,2026-08-29,captured,INR
P037,C039,37474,2026-08-29,captured,INR
P038,C017,6147,2026-08-26,captured,INR
P039,C009,5915,2026-08-21,captured,INR
P040,C001,14801,2026-08-23,captured,INR
P041,C033,371,2026-08-23,captured,INR
P042,C024,38716,2026-08-24,captured,INR
P043,C040,10512,2026-08-28,captured,INR
P044,C020,2697,2026-08-21,captured,INR
P045,C007,3546,2026-08-29,captured,INR
P046,C014,23342,2026-08-30,captured,INR
P047,C017,617,2026-08-21,captured,INR
P048,C028,949,2026-08-25,captured,INR
P049,C009,20589,2026-08-27,captured,INR
P050,C036,822,2026-08-21,captured,INR
P051,C005,807,2026-08-25,captured,INR
P052,C028,1685,2026-08-20,captured,INR
P053,C023,5088,2026-08-28,captured,INR
P054,C027,735,2026-08-22,captured,INR
P055,C027,3938,2026-08-30,captured,INR
P056,C016,3608,2026-08-20,captured,INR
P057,C031,4269,2026-08-24,captured,INR
P058,C015,1387,2026-08-25,captured,INR
P059,C005,33012,2026-08-28,captured,INR
P060,C026,795,2026-08-21,captured,INR
P061,C012,694,2026-08-29,captured,INR
P062,C028,38599,2026-08-28,captured,INR
P063,C008,494,2026-08-26,captured,INR
P064,C001,9821,2026-08-26,captured,INR
P065,C022,18167,2026-08-24,captured,INR
P066,C033,7691,2026-08-24,captured,INR
P067,C036,37554,2026-08-26,captured,INR
P068,C012,36612,2026-08-20,captured,INR
P069,C020,38173,2026-08-29,captured,INR
P070,C030,24005,2026-08-27,captured,INR
P071,C011,28598,2026-08-30,captured,INR
P072,C040,25392,2026-08-24,captured,INR
P073,C002,41138,2026-08-21,captured,INR
P074,C030,4185,2026-08-26,captured,INR
P075,C010,1090,2026-08-23,captured,INR
P076,C012,923,2026-08-28,captured,INR
P077,C016,968,2026-08-27,captured,INR
P078,C034,39004,2026-08-28,captured,INR
P079,C028,950,2026-08-27,captured,INR
P080,C029,28173,2026-08-27,captured,INR
P081,C016,15077,2026-08-24,captured,INR
P082,C018,443,2026-08-22,captured,INR
P083,C010,20014,2026-08-23,captured,INR
P084,C005,31684,2026-08-27,captured,INR
P085,C027,4388,2026-08-29,captured,INR
P086,C031,6763,2026-08-26,captured,INR
P087,C035,865,2026-08-27,captured,INR
P088,C015,379,2026-08-26,captured,INR
P089,C022,7624,2026-08-22,captured,INR
P090,C040,35822,2026-08-29,captured,INR
P091,C002,8022,2026-08-22,captured,INR
P092,C004,366,2026-08-27,captured,INR
P093,C021,7211,2026-08-24,captured,INR
P094,C006,581,2026-08-25,captured,INR
P095,C015,765,2026-08-23,captured,INR
P096,C013,959,2026-08-22,captured,INR
P097,C031,785,2026-08-27,captured,INR
P098,C024,2876,2026-08-21,captured,INR
P099,C038,47735,2026-08-26,captured,INR
P100,C026,14980,2026-08-30,captured,INR
